Name,Category,Role,BasePrice,Points,
MS Dhoni,Marquee Players,Wicket Keeper Batsman,20000000,92,
Virat Kohli,Marquee Players,Batsman,20000000,95,
Rohit Sharma,Marquee Players,Batsman,20000000,90,
Hardik Pandya,Marquee Players,All-rounder,20000000,88,
Ravindra Jadeja,Marquee Players,All-rounder,20000000,87,
KL Rahul,Marquee Players,Batsman,20000000,86,
Jasprit Bumrah,Marquee Players,Bowler,20000000,89,
Pat Cummins,Foreign Players,Bowler,15000000,88,
Mitchell Starc,Foreign Players,Bowler,15000000,87,
Ben Stokes,Foreign Players,All-rounder,15000000,89,
Steve Smith,Foreign Players,Batsman,15000000,85,
Kane Williamson,Foreign Players,Batsman,15000000,86,
David Warner,Foreign Players,Batsman,15000000,88,
Jos Buttler,Foreign Players,Wicket-keeper,15000000,89,
Shubman Gill,Indian Players,Batsman,10000000,85,
Rishabh Pant,Indian Players,Wicket-keeper,10000000,84,
Ishan Kishan,Indian Players,Wicket-keeper,10000000,82,
Suryakumar Yadav,Indian Players,Batsman,10000000,86,
Shreyas Iyer,Indian Players,Batsman,10000000,83,
Mohammed Siraj,Indian Players,Bowler,10000000,84,
Yuzvendra Chahal,Indian Players,Bowler,10000000,83,
Kuldeep Yadav,Indian Players,Bowler,10000000,82,
Axar Patel,Indian Players,All-rounder,10000000,81,
Washington Sundar,Indian Players,All-rounder,10000000,80,
Deepak Chahar,Indian Players,Bowler,10000000,81,
Ruturaj Gaikwad,Indian Players,Batsman,10000000,82,
Yashasvi Jaiswal,Indian Players,Batsman,10000000,83,
Rinku Singh,Indian Players,Batsman,10000000,81,
Rahul Tripathi,Indian Players,Batsman,10000000,80,
Tilak Varma,Indian Players,Batsman,10000000,81,
